MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,34,4.544744|3.000000|1.000000,0.026645183563232422,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86185066496.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,35,4.544744|3.000000|1.000000,0.02787637710571289,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,74974142464.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,36,4.544744|3.000000|1.000000,0.02705550193786621,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,79679447040.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,37,4.544744|3.000000|1.000000,0.026486873626708984,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,98216927232.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,38,4.544744|3.000000|1.000000,0.02617621421813965,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,49937309696.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,39,4.544744|3.000000|1.000000,0.027292728424072266,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,99497598976.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,40,4.544744|3.000000|1.000000,0.02714681625366211,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,114210299904.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,41,4.544744|3.000000|1.000000,0.02668285369873047,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,108276047872.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,42,4.544744|3.000000|1.000000,0.026518583297729492,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,105387343872.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,43,4.544744|3.000000|1.000000,0.026912450790405273,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,101252849664.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,44,4.544744|3.000000|1.000000,0.025712251663208008,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,23201519616.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,45,4.544744|3.000000|1.000000,0.0260775089263916,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,84084678656.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,46,4.544744|3.000000|1.000000,0.027658939361572266,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,130675326976.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,47,4.544744|3.000000|1.000000,0.02671527862548828,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,69474582528.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,48,4.544744|3.000000|1.000000,0.027241230010986328,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,103442022400.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,49,4.544744|3.000000|1.000000,0.026792049407958984,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,50378522624.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,50,4.544744|3.000000|1.000000,0.026906490325927734,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,96418619392.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,51,4.544744|3.000000|1.000000,0.026960134506225586,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,91662901248.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,52,4.544744|3.000000|1.000000,0.027195453643798828,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,89384787968.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,53,4.544744|3.000000|1.000000,0.026996850967407227,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,102867730432.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,54,4.544744|3.000000|1.000000,0.027279376983642578,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,96049070080.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,55,4.544744|3.000000|1.000000,0.026348590850830078,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,61100335104.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,56,4.544744|3.000000|1.000000,0.027396678924560547,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,60917436416.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,57,4.544744|3.000000|1.000000,0.02669382095336914,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,84558766080.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,58,4.544744|3.000000|1.000000,0.027397871017456055,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,89706962944.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,59,4.544744|3.000000|1.000000,0.02665233612060547,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,138279747584.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,60,4.544744|3.000000|1.000000,0.026782751083374023,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,110729527296.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,61,4.544744|3.000000|1.000000,0.025865793228149414,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,69474983936.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,62,4.544744|3.000000|1.000000,0.0266110897064209,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,95753281536.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,63,4.544744|3.000000|1.000000,0.027151107788085938,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,36889829376.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,64,4.544744|3.000000|1.000000,0.026499032974243164,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,49940070400.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,65,4.544744|3.000000|1.000000,0.02617645263671875,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,934578560.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,66,4.544744|3.000000|1.000000,0.02629375457763672,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,92988162048.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,67,4.544744|3.000000|1.000000,0.02664327621459961,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,103441022976.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,68,4.544744|3.000000|1.000000,0.026720046997070312,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,95481946112.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,69,4.544744|3.000000|1.000000,0.026767730712890625,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,85416050688.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,70,4.544744|3.000000|1.000000,0.027257919311523438,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,99522764800.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,71,4.544744|3.000000|1.000000,0.026212692260742188,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,92222898176.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,72,4.544744|3.000000|1.000000,0.0260009765625,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,49937330176.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,73,4.544744|3.000000|1.000000,0.02634739875793457,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,96972873728.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,74,4.544744|3.000000|1.000000,0.027646780014038086,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,96250322944.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,75,4.544744|3.000000|1.000000,0.02532052993774414,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,76,4.544744|3.000000|1.000000,0.02655029296875,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,93854793728.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,77,4.544744|3.000000|1.000000,0.02749776840209961,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,75493384192.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,78,4.544744|3.000000|1.000000,0.028154850006103516,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,125530685440.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,79,4.544744|3.000000|1.000000,0.027003765106201172,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,108905480192.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,80,4.544744|3.000000|1.000000,0.02733016014099121,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,115719610368.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,81,4.544744|3.000000|1.000000,0.06346726417541504,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,87968579584.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,82,4.544744|3.000000|1.000000,0.026495933532714844,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,73697255424.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,83,4.544744|3.000000|1.000000,0.027446746826171875,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,85416755200.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,84,4.544744|3.000000|1.000000,0.027209043502807617,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,108610691072.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,85,4.544744|3.000000|1.000000,0.026533842086791992,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,84933456.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,86,4.544744|3.000000|1.000000,0.026256084442138672,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,86708830208.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,87,4.544744|3.000000|1.000000,0.027966022491455078,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,112307339264.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,88,4.544744|3.000000|1.000000,0.026391983032226562,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,102347841536.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,89,4.544744|3.000000|1.000000,0.027367591857910156,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,109407117312.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,90,4.544744|3.000000|1.000000,0.026247501373291016,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,60304130048.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,91,4.544744|3.000000|1.000000,0.026744842529296875,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,96251363328.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,92,4.544744|3.000000|1.000000,0.02703380584716797,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,23141452.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,93,4.544744|3.000000|1.000000,0.026489734649658203,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,183557072.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,94,4.544744|3.000000|1.000000,0.027144193649291992,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,108211822592.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,95,4.544744|3.000000|1.000000,0.02679610252380371,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,100504297472.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,96,4.544744|3.000000|1.000000,0.027239322662353516,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,139997102080.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,97,4.544744|3.000000|1.000000,0.026554346084594727,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,91251105792.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,98,4.544744|3.000000|1.000000,0.026163816452026367,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,69474975744.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,99,4.544744|3.000000|1.000000,0.026378870010375977,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,108210126848.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,100,4.544744|3.000000|1.000000,0.026215314865112305,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,106759675904.000000,N/A,2,5
MOGP_GENERATIONAL,de60f492-1504-11f1-9378-303ea725c124,Cooling,74,101,4.544744|3.000000|1.000000,0.028431415557861328,3.0,4.552140|3.000000|1.000000,4.544744|3.000000|1.000000,4.552140|3.000000|1.000000,3,110447566848.000000,N/A,2,5
