MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,16,8.530859|3.000000,4.067429065704346,3.0,8.203227|3.000000,8.203227|3.000000,3,0.701542,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,17,8.530859|3.000000,3.856618881225586,3.0,8.203227|3.000000,8.203227|3.000000,3,0.739040,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,18,8.530859|3.000000,4.004203796386719,3.0,8.203227|3.000000,8.203227|3.000000,3,0.608993,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,19,8.530859|3.000000,4.461368799209595,3.0,8.203227|3.000000,8.203227|3.000000,3,0.000002,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,20,8.530859|3.000000,5.222424745559692,3.0,8.203227|3.000000,6.380160|5.000000,5,0.081081,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,21,8.530859|3.000000,5.0843939781188965,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,22,8.530859|3.000000,5.235043287277222,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,23,8.530859|3.000000,5.21677303314209,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,24,8.530859|3.000000,5.114611864089966,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,25,8.530859|3.000000,5.13844108581543,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,26,8.530859|3.000000,5.318907022476196,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,27,8.530859|3.000000,5.1805901527404785,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,28,8.530859|3.000000,5.193498849868774,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,29,8.530859|3.000000,5.190256834030151,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,30,8.530859|3.000000,5.093051195144653,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,31,8.530859|3.000000,5.249156951904297,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,32,8.530859|3.000000,5.315321922302246,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,33,8.530859|3.000000,5.20262885093689,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,34,8.530859|3.000000,5.2037129402160645,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,35,8.530859|3.000000,5.140926361083984,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,36,8.530859|3.000000,5.0593321323394775,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,37,8.530859|3.000000,5.236595869064331,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,38,8.530859|3.000000,5.142358064651489,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,39,8.530859|3.000000,5.171205282211304,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,40,8.530859|3.000000,4.901216983795166,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,41,8.530859|3.000000,5.132179260253906,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,42,8.530859|3.000000,5.1896538734436035,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,43,8.530859|3.000000,5.120103120803833,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,44,8.530859|3.000000,5.092665910720825,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,45,8.530859|3.000000,5.117660760879517,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,46,8.530859|3.000000,5.238164901733398,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,47,8.530859|3.000000,5.03310489654541,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,48,8.530859|3.000000,5.042053937911987,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,49,8.530859|3.000000,5.1195068359375,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,50,8.530859|3.000000,5.1978349685668945,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,51,8.530859|3.000000,5.219559907913208,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,52,8.530859|3.000000,5.045984983444214,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,53,8.530859|3.000000,5.147964239120483,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
MOGP_NSGAII,dc39823a-e7da-11f0-b717-6e001b3eef54,Boston,74,54,8.530859|3.000000,5.131096124649048,3.0,8.203227|3.000000,6.380160|5.000000,5,0.114522,N/A,5
