MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,81,4.521828|3.000000,0.02003931999206543,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,101577621504.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,82,4.521828|3.000000,0.01868271827697754,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,77928103936.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,83,4.521828|3.000000,0.019563674926757812,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,102087524352.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,84,4.521828|3.000000,0.019816875457763672,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,85,4.521828|3.000000,0.020521163940429688,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,118369116160.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,86,4.521828|3.000000,0.020147085189819336,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,62158516224.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,87,4.521828|3.000000,0.0189821720123291,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,70533316608.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,88,4.521828|3.000000,0.01873469352722168,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,89074245632.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,89,4.521828|3.000000,0.01918816566467285,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,93605453824.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,90,4.521828|3.000000,0.01880955696105957,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,70577446912.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,91,4.521828|3.000000,0.01888298988342285,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,85333368832.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,92,4.521828|3.000000,0.020519018173217773,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,96029343744.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,93,4.521828|3.000000,0.018425703048706055,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,46842015744.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,94,4.521828|3.000000,0.018842697143554688,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,49937387520.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,95,4.521828|3.000000,0.020139694213867188,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,81542643712.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,96,4.521828|3.000000,0.019193172454833984,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,96179421184.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,97,4.521828|3.000000,0.018743515014648438,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,71609892864.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,98,4.521828|3.000000,0.019527196884155273,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,107857633280.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,99,4.521828|3.000000,0.019045591354370117,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,79523717120.000000,N/A,1,5
MOGP_GENERATIONAL,6461c8e2-1540-11f1-9378-303ea725c124,Cooling,74,100,4.521828|3.000000,0.019654512405395508,3.0,4.604887|3.000000,4.521828|3.000000,4.604887|3.000000,3,106027917312.000000,N/A,1,5
