MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,58,4.625110|3.000000,0.04557991027832031,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92039692288.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,59,4.625110|3.000000,0.04308009147644043,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,80950902784.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,60,4.625110|3.000000,0.05842018127441406,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,49937195008.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,61,4.625110|3.000000,0.03453350067138672,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,100325613568.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,62,4.625110|3.000000,0.05341172218322754,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,43305271296.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,63,4.625110|3.000000,0.04761624336242676,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,83943243776.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,64,4.625110|3.000000,0.05182242393493652,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,93643325440.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,65,4.625110|3.000000,0.056150197982788086,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,48381362176.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,66,4.625110|3.000000,0.058235883712768555,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,105142411264.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,67,4.625110|3.000000,0.036958932876586914,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,97022164992.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,68,4.625110|3.000000,0.03312253952026367,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,106425024512.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,69,4.625110|3.000000,0.05005240440368652,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,48378732544.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,70,4.625110|3.000000,0.04413652420043945,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,112357097472.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,71,4.625110|3.000000,0.03474760055541992,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,79929393152.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,72,4.625110|3.000000,0.03450727462768555,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,82271920128.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,73,4.625110|3.000000,0.04996752738952637,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,126462713856.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,74,4.625110|3.000000,0.03963780403137207,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86278029312.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,75,4.625110|3.000000,0.05732131004333496,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92112437248.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,76,4.625110|3.000000,0.03430986404418945,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,109259317248.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,77,4.625110|3.000000,0.04608583450317383,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,68177494016.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,78,4.625110|3.000000,0.05334782600402832,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,93213696000.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,79,4.625110|3.000000,0.048967838287353516,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,97390575616.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,80,4.625110|3.000000,0.047154903411865234,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86277193728.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,81,4.625110|3.000000,0.0455780029296875,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,121551405056.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,82,4.625110|3.000000,0.03327512741088867,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,109536182272.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,83,4.625110|3.000000,0.04522538185119629,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,73404710912.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,84,4.625110|3.000000,0.049051523208618164,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92897026048.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,85,4.625110|3.000000,0.051275014877319336,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,119977222144.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,86,4.625110|3.000000,0.13473081588745117,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,92694052864.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,87,4.625110|3.000000,0.03334236145019531,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86276792320.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,88,4.625110|3.000000,0.04959726333618164,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,96323084288.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,89,4.625110|3.000000,0.05002260208129883,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,86073180160.000000,N/A,1,5
MOGP_GENERATIONAL,37574199-1345-11f1-86c6-b751108eed3b,Cooling,74,90,4.625110|3.000000,0.0497128963470459,3.0,4.359913|3.000000,4.625110|3.000000,4.359913|3.000000,3,37770285056.000000,N/A,1,5
