MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,35,4.492990|3.000000|1.000000,0.06631088256835938,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,70536962048.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,36,4.492990|3.000000|1.000000,0.07484769821166992,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,19480373248.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,37,4.492990|3.000000|1.000000,0.06281805038452148,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,56121180160.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,38,4.492990|3.000000|1.000000,0.0625147819519043,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,85758017536.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,39,4.492990|3.000000|1.000000,0.0663900375366211,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,96016719872.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,40,4.492990|3.000000|1.000000,0.08962035179138184,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,146216304640.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,41,4.492990|3.000000|1.000000,0.06321430206298828,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86832594944.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,42,4.492990|3.000000|1.000000,0.051012516021728516,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,128251854848.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,43,4.492990|3.000000|1.000000,0.0521397590637207,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,72141414400.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,44,4.492990|3.000000|1.000000,0.06302690505981445,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,66022912000.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,45,4.492990|3.000000|1.000000,0.06666445732116699,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,121560850432.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,46,4.492990|3.000000|1.000000,0.0666494369506836,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,125956497408.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,47,4.492990|3.000000|1.000000,0.10369539260864258,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,48,4.492990|3.000000|1.000000,0.0640556812286377,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,111102410752.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,49,4.492990|3.000000|1.000000,0.05128312110900879,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86436593664.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,50,4.492990|3.000000|1.000000,0.0740818977355957,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,53792698368.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,51,4.492990|3.000000|1.000000,0.06302094459533691,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,43323461632.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,52,4.492990|3.000000|1.000000,0.06524395942687988,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,86276800512.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,53,4.492990|3.000000|1.000000,0.06687450408935547,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,128786694144.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,54,4.492990|3.000000|1.000000,0.0614321231842041,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,107910135808.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,55,4.492990|3.000000|1.000000,0.06082749366760254,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,74725916672.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,56,4.492990|3.000000|1.000000,0.06677865982055664,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,81389912064.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,57,4.492990|3.000000|1.000000,0.060616254806518555,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,91677556736.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,58,4.492990|3.000000|1.000000,0.06186556816101074,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,87674740736.000000,N/A,2,5
MOGP_GENERATIONAL,f1a733f8-1326-11f1-817a-b751108eed3b,Cooling,74,59,4.492990|3.000000|1.000000,0.06642365455627441,3.0,4.670046|3.000000|1.000000,4.492990|3.000000|1.000000,4.670046|3.000000|1.000000,3,114354855936.000000,N/A,2,5
