MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,53,4.751816|3.000000,0.05005335807800293,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,80500654080.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,54,4.751816|3.000000,0.0332493782043457,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,92645195776.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,55,4.751816|3.000000,0.05119466781616211,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,97828134912.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,56,4.751816|3.000000,0.13355445861816406,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,105143361536.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,57,4.751816|3.000000,0.04759621620178223,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,75891998720.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,58,4.751816|3.000000,0.03455376625061035,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,71237443584.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,59,4.751816|3.000000,0.05005502700805664,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,113787035648.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,60,4.751816|3.000000,0.049939632415771484,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,81502568448.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,61,4.751816|3.000000,0.05115675926208496,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,79154511872.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,62,4.751816|3.000000,0.04998159408569336,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,93609426944.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,63,4.751816|3.000000,0.047842979431152344,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,64,4.751816|3.000000,0.05120205879211426,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,120908644352.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,65,4.751816|3.000000,0.05035567283630371,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,102532333568.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,66,4.751816|3.000000,0.050124406814575195,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,70631448576.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,67,4.751816|3.000000,0.03513336181640625,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,82276106240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,68,4.751816|3.000000,0.03525590896606445,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86277193728.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,69,4.751816|3.000000,0.034546613693237305,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,99016441856.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,70,4.751816|3.000000,0.03451824188232422,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,96370851840.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,71,4.751816|3.000000,0.04907965660095215,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,108317794304.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,72,4.751816|3.000000,0.05010271072387695,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,98276048896.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,73,4.751816|3.000000,0.04792189598083496,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,77678182400.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,74,4.751816|3.000000,0.047597408294677734,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,86411501568.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,75,4.751816|3.000000,0.05060696601867676,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,99532414976.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,76,4.751816|3.000000,0.032251596450805664,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,64889458688.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,77,4.751816|3.000000,0.04999256134033203,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,117755420672.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,78,4.751816|3.000000,0.05006980895996094,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,33870266368.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,79,4.751816|3.000000,0.05118370056152344,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,118307782656.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,80,4.751816|3.000000,0.04638409614562988,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,82639806464.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,81,4.751816|3.000000,0.03282618522644043,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,118968844288.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,82,4.751816|3.000000,0.03380560874938965,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,125458333696.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,83,4.751816|3.000000,0.0345456600189209,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,79573327872.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,84,4.751816|3.000000,0.05205965042114258,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,105345253376.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,85,4.751816|3.000000,0.05005240440368652,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,99510648832.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,86,4.751816|3.000000,0.03586626052856445,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,100164263936.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,87,4.751816|3.000000,0.03453254699707031,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,88,4.751816|3.000000,0.05635809898376465,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,50000560128.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,89,4.751816|3.000000,0.051287174224853516,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,139999428608.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,90,4.751816|3.000000,0.05055069923400879,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,110897930240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,91,4.751816|3.000000,0.05002593994140625,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,102041354240.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,92,4.751816|3.000000,0.03455471992492676,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,93822328832.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,93,4.751816|3.000000,0.048505544662475586,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,41873133568.000000,N/A,1,5
MOGP_GENERATIONAL,82ac3a31-133a-11f1-86c6-b751108eed3b,Cooling,74,94,4.751816|3.000000,0.050017595291137695,3.0,4.030739|3.000000,4.751816|3.000000,4.030739|3.000000,3,95643959296.000000,N/A,1,5
