MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,76,9.504141|3.000000|0.000000,9.631671905517578,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,77,9.504141|3.000000|0.000000,10.06174087524414,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,78,9.504141|3.000000|0.000000,9.57883882522583,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,79,9.504141|3.000000|0.000000,9.751480102539062,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,80,9.504141|3.000000|0.000000,9.646632194519043,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,81,9.504141|3.000000|0.000000,9.624222993850708,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,82,9.504141|3.000000|0.000000,9.589572668075562,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,83,9.504141|3.000000|0.000000,9.554585218429565,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,84,9.504141|3.000000|0.000000,9.702255964279175,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,85,9.504141|3.000000|0.000000,9.938136100769043,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,86,9.504141|3.000000|0.000000,9.80679202079773,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
MOGP_NSGAII,fcf9489e-e9aa-11f0-97f1-6e001b3eef54,Cooling,74,87,9.504141|3.000000|0.000000,9.720540046691895,3.0,9.543655|3.000000|0.000000,3.936680|9.000000|4.000000,9,0.430551,N/A,5
