MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,47,8.693059|5.000000|1.000000,0.026973247528076172,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,68507901952.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,48,8.693059|5.000000|1.000000,0.0263214111328125,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,89239609344.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,49,8.693059|5.000000|1.000000,0.026824951171875,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,102758268928.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,50,8.693059|5.000000|1.000000,0.02681279182434082,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,88297472000.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,51,8.693059|5.000000|1.000000,0.026711463928222656,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,72696954880.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,52,8.693059|5.000000|1.000000,0.026294946670532227,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,70481117184.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,53,8.693059|5.000000|1.000000,0.026859521865844727,5.0,8.676091|5.000000|1.000000,8.693059|5.000000|1.000000,8.676091|5.000000|1.000000,5,101552373760.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,54,7.993552|7.000000|1.000000,0.02620100975036621,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,32841279488.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,55,7.993552|7.000000|1.000000,0.025579452514648438,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,49672015872.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,56,7.993552|7.000000|1.000000,0.027116060256958008,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,27150434304.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,57,7.993552|7.000000|1.000000,0.026247501373291016,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,70476128256.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,58,7.993552|7.000000|1.000000,0.0269620418548584,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,94468268032.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,59,7.993552|7.000000|1.000000,0.0274505615234375,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,63549501440.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,60,7.993552|7.000000|1.000000,0.026397705078125,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,76512419840.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,61,7.993552|7.000000|1.000000,0.026775360107421875,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,55260114944.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,62,7.993552|7.000000|1.000000,0.026349782943725586,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,36700966912.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,63,7.993552|7.000000|1.000000,0.02676081657409668,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,66879774720.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,64,7.993552|7.000000|1.000000,0.026551008224487305,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,65778171904.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,65,7.993552|7.000000|1.000000,0.02584362030029297,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,59229990912.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,66,7.993552|7.000000|1.000000,0.02624654769897461,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,67718770688.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,67,7.993552|7.000000|1.000000,0.026427030563354492,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,93406560256.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,68,7.993552|7.000000|1.000000,0.026911020278930664,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,55575445504.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,69,7.993552|7.000000|1.000000,0.026057958602905273,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,70,7.993552|7.000000|1.000000,0.02685260772705078,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,79200428032.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,71,7.993552|7.000000|1.000000,0.02727961540222168,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,56899710976.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,72,7.993552|7.000000|1.000000,0.025529146194458008,7.0,7.850495|7.000000|1.000000,7.993552|7.000000|1.000000,7.850495|7.000000|1.000000,7,102181666816.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,73,7.053564|7.000000|2.000000,0.026337385177612305,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,98738028544.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,74,7.053564|7.000000|2.000000,0.027721405029296875,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,81029906432.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,75,7.053564|7.000000|2.000000,0.025975704193115234,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,92737306624.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,76,7.053564|7.000000|2.000000,0.025735855102539062,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,77436420096.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,77,7.053564|7.000000|2.000000,0.02661609649658203,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,58969284608.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,78,7.053564|7.000000|2.000000,0.026480674743652344,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,100731117568.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,79,7.053564|7.000000|2.000000,0.026610374450683594,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,67927252992.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,80,7.053564|7.000000|2.000000,0.026866436004638672,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,110278721536.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,81,7.053564|7.000000|2.000000,0.026752948760986328,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,83703611392.000000,N/A,2,5
MOGP_GENERATIONAL,c00ba2be-1575-11f1-9378-303ea725c124,Boston,74,82,7.053564|7.000000|2.000000,0.0258481502532959,7.0,7.202531|7.000000|2.000000,7.053564|7.000000|2.000000,7.202531|7.000000|2.000000,7,78913142784.000000,N/A,2,5
