MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,31,2180.525879|7.000000,0.021228790283203125,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,103.533485,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,32,2180.525879|7.000000,0.0218048095703125,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,90536001536.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,33,2180.525879|7.000000,0.02144455909729004,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,68885291008.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,34,2180.525879|7.000000,0.02449345588684082,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,50995228672.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,35,2180.525879|7.000000,0.02221846580505371,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,74575069184.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,36,2180.525879|7.000000,0.022635459899902344,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,65972350976.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,37,2180.525879|7.000000,0.02159571647644043,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,33535031296.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,38,2180.525879|7.000000,0.021628618240356445,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,66313543680.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,39,2180.525879|7.000000,0.021354198455810547,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,48109162496.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,40,2180.525879|7.000000,0.021793365478515625,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,13801.418945,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,41,2180.525879|7.000000,0.0223388671875,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,5261.900391,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,42,2180.525879|7.000000,0.022496938705444336,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,74875707392.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,43,2180.525879|7.000000,0.0223846435546875,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,11063120896.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,44,2180.525879|7.000000,0.021721839904785156,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,49507598336.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,45,2180.525879|7.000000,0.021911144256591797,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,24345262080.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,46,2180.525879|7.000000,0.020811796188354492,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,78782734336.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,47,2180.525879|7.000000,0.021414518356323242,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,15514135552.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,48,2180.525879|7.000000,0.020939350128173828,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,12137531392.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,49,2180.525879|7.000000,0.06073927879333496,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,16506254336.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,50,2180.525879|7.000000,0.02191615104675293,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,60873154560.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,51,2180.525879|7.000000,0.0218813419342041,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,70109323264.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,52,2180.525879|7.000000,0.023111820220947266,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,53131857920.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,53,2180.525879|7.000000,0.02258467674255371,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,57918517248.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,54,2180.525879|7.000000,0.02118086814880371,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,12359640064.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,55,2180.525879|7.000000,0.021620512008666992,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,83374284800.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,56,2180.525879|7.000000,0.020891904830932617,7.0,2045.906982|7.000000,2180.525879|7.000000,2045.906982|7.000000,7,29183778816.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,57,2061.361084|7.000000,0.022424697875976562,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,63582404608.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,58,2061.361084|7.000000,0.022914886474609375,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,65117589504.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,59,2061.361084|7.000000,0.021181106567382812,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,79141240832.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,60,2061.361084|7.000000,0.020640134811401367,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,1239188.875000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,61,2061.361084|7.000000,0.02151799201965332,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,31534745600.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,62,2061.361084|7.000000,0.020935535430908203,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,1581326848.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,63,2061.361084|7.000000,0.02115464210510254,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,48358084608.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,64,2061.361084|7.000000,0.02253127098083496,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,38154027008.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,65,2061.361084|7.000000,0.021440982818603516,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,63165386752.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,66,2061.361084|7.000000,0.022350311279296875,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,26283819008.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,67,2061.361084|7.000000,0.02187347412109375,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,49937461248.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,68,2061.361084|7.000000,0.021948814392089844,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,13584339968.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,69,2061.361084|7.000000,0.02236628532409668,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,66936057856.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,70,2061.361084|7.000000,0.022696971893310547,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,11946.452148,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,71,2061.361084|7.000000,0.020966529846191406,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,34023292928.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,72,2061.361084|7.000000,0.021797895431518555,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,68013072384.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,73,2061.361084|7.000000,0.022719621658325195,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,58474213376.000000,N/A,2,5
