MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,46,7.999949|7.000000|1.000000,0.027463674545288086,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,102269001728.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,47,7.999949|7.000000|1.000000,0.026525259017944336,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,71770693632.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,48,7.999949|7.000000|1.000000,0.02647709846496582,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,99606290432.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,49,7.999949|7.000000|1.000000,0.027244091033935547,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,78654464000.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,50,7.999949|7.000000|1.000000,0.026324748992919922,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,99515719680.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,51,7.999949|7.000000|1.000000,0.02718377113342285,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,106239385600.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,52,7.999949|7.000000|1.000000,0.02643585205078125,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,105524690944.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,53,7.999949|7.000000|1.000000,0.02675175666809082,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,88001052672.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,54,7.999949|7.000000|1.000000,0.026697397232055664,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,63676289024.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,55,7.999949|7.000000|1.000000,0.02519083023071289,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,33871974400.000000,N/A,2,5
MOGP_GENERATIONAL,a09cadb6-1588-11f1-9378-303ea725c124,Boston,74,56,7.999949|7.000000|1.000000,0.027173280715942383,7.0,7.835304|7.000000|1.000000,7.999949|7.000000|1.000000,7.835304|7.000000|1.000000,7,64934137856.000000,N/A,2,5
