MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,11,4.492990|3.000000,4.112792253494263,3.0,4.670046|3.000000,4.670046|3.000000,3,0.394802,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,12,4.492990|3.000000,4.9673779010772705,3.0,4.670046|3.000000,4.670046|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,13,4.492990|3.000000,5.27169394493103,3.0,4.670046|3.000000,4.670046|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,14,4.492990|3.000000,5.38738489151001,3.0,4.670046|3.000000,4.521690|5.000000,5,0.003845,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,15,4.492990|3.000000,5.270096063613892,3.0,4.670046|3.000000,4.506313|7.000000,7,0.005649,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,16,4.492990|3.000000,5.204415798187256,3.0,4.670046|3.000000,4.506313|7.000000,7,0.005649,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,17,4.492990|3.000000,5.36096715927124,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,18,4.492990|3.000000,5.17850399017334,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,19,4.492990|3.000000,5.200115919113159,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,20,4.492990|3.000000,5.213846921920776,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,21,4.492990|3.000000,5.344279050827026,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,22,4.492990|3.000000,5.122560024261475,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,23,4.492990|3.000000,5.186564207077026,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,24,4.492990|3.000000,5.178996801376343,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,25,4.492990|3.000000,5.3439390659332275,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,26,4.492990|3.000000,5.277827978134155,3.0,4.670046|3.000000,4.506313|7.000000,7,0.006997,N/A,5
