MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,40,4.633978|3.000000|1.000000,0.027252912521362305,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,108445335552.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,41,4.633978|3.000000|1.000000,0.026588916778564453,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,95836061696.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,42,4.633978|3.000000|1.000000,0.02661609649658203,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,95114092544.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,43,4.633978|3.000000|1.000000,0.026849031448364258,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,95504367616.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,44,4.633978|3.000000|1.000000,0.02599620819091797,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,83595886592.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,45,4.633978|3.000000|1.000000,0.026402711868286133,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,80389554176.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,46,4.633978|3.000000|1.000000,0.027514934539794922,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,112848379904.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,47,4.633978|3.000000|1.000000,0.026741504669189453,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,86277177344.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,48,4.633978|3.000000|1.000000,0.027364492416381836,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,130530738176.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,49,4.633978|3.000000|1.000000,0.026945829391479492,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,67357265920.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,50,4.633978|3.000000|1.000000,0.026532888412475586,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,79452282880.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,51,4.633978|3.000000|1.000000,0.027137041091918945,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,79071510528.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,52,4.633978|3.000000|1.000000,0.027580738067626953,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,53,4.633978|3.000000|1.000000,0.026938438415527344,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,96840753152.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,54,4.633978|3.000000|1.000000,0.027401447296142578,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,116512366592.000000,N/A,2,5
