MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,68,8.287820|7.000000|1.000000,0.02675795555114746,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,55718150144.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,69,8.287820|7.000000|1.000000,0.026094436645507812,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,70,8.287820|7.000000|1.000000,0.026803255081176758,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,79279931392.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,71,8.287820|7.000000|1.000000,0.027373790740966797,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,57731321856.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,72,8.287820|7.000000|1.000000,0.02571582794189453,7.0,7.104368|7.000000|1.000000,8.287820|7.000000|1.000000,7.104368|7.000000|1.000000,7,102578765824.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,73,7.292118|7.000000|2.000000,0.026285409927368164,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,98340798464.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,74,7.292118|7.000000|2.000000,0.027997493743896484,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,81013055488.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,75,7.292118|7.000000|2.000000,0.02617192268371582,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,92983902208.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,76,7.292118|7.000000|2.000000,0.025546550750732422,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,77219291136.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,77,7.292118|7.000000|2.000000,0.026633739471435547,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,58926989312.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,78,7.292118|7.000000|2.000000,0.026532888412475586,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,100707647488.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,79,7.292118|7.000000|2.000000,0.026614904403686523,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,68404498432.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,80,7.292118|7.000000|2.000000,0.026993989944458008,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,110380916736.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,81,7.292118|7.000000|2.000000,0.026691436767578125,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,83734257664.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,82,7.292118|7.000000|2.000000,0.02588200569152832,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,78777450496.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,83,7.292118|7.000000|2.000000,0.026585102081298828,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,46780809216.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,84,7.292118|7.000000|2.000000,0.02631855010986328,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,81474928640.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,85,7.292118|7.000000|2.000000,0.027295351028442383,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,89241354240.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,86,7.292118|7.000000|2.000000,0.02579212188720703,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,102049792000.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,87,7.292118|7.000000|2.000000,0.02595996856689453,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,83809935360.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,88,7.292118|7.000000|2.000000,0.026570558547973633,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,65738334208.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,89,7.292118|7.000000|2.000000,0.026407480239868164,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,89295077376.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,90,7.292118|7.000000|2.000000,0.026110172271728516,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,59391459328.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,91,7.292118|7.000000|2.000000,0.02772235870361328,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,89674162176.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,92,7.292118|7.000000|2.000000,0.026339054107666016,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,85871714304.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,93,7.292118|7.000000|2.000000,0.02601313591003418,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,49357570048.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,94,7.292118|7.000000|2.000000,0.026792287826538086,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,73906028544.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,95,7.292118|7.000000|2.000000,0.026914358139038086,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,92848570368.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,96,7.292118|7.000000|2.000000,0.028151512145996094,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,131140444160.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,97,7.292118|7.000000|2.000000,0.02650737762451172,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,121808650240.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,98,7.292118|7.000000|2.000000,0.026135683059692383,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,55911768064.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,99,7.292118|7.000000|2.000000,0.026125669479370117,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,78314930176.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,100,7.292118|7.000000|2.000000,0.02606058120727539,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,71031562240.000000,N/A,2,5
MOGP_GENERATIONAL,d4db1a10-1464-11f1-9378-303ea725c124,Boston,74,101,7.292118|7.000000|2.000000,0.026683568954467773,7.0,6.626180|7.000000|2.000000,7.292118|7.000000|2.000000,6.626180|7.000000|2.000000,7,82499706880.000000,N/A,2,5
