MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,14,8.287820|3.000000,4.551719903945923,3.0,7.104368|3.000000,7.104368|3.000000,3,0.226850,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,15,8.287820|3.000000,4.657598972320557,3.0,7.104368|3.000000,7.104368|3.000000,3,0.237029,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,16,8.287820|3.000000,4.615994215011597,3.0,7.104368|3.000000,7.104368|3.000000,3,0.255714,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,17,8.287820|3.000000,4.430230140686035,3.0,7.104368|3.000000,7.104368|3.000000,3,0.304074,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,18,8.287820|3.000000,4.270267963409424,3.0,7.104368|3.000000,7.104368|3.000000,3,0.341124,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,19,8.287820|3.000000,4.1240620613098145,3.0,7.104368|3.000000,7.104368|3.000000,3,0.394346,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,20,8.287820|3.000000,3.9773898124694824,3.0,7.104368|3.000000,7.104368|3.000000,3,0.436837,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,21,8.287820|3.000000,3.6088130474090576,3.0,7.104368|3.000000,7.104368|3.000000,3,0.432279,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,22,8.287820|3.000000,3.7528789043426514,3.0,7.104368|3.000000,7.104368|3.000000,3,0.296846,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,23,8.287820|3.000000,4.23997688293457,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,24,8.287820|3.000000,4.552771806716919,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,25,8.287820|3.000000,4.571014165878296,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,26,8.287820|3.000000,4.418927907943726,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,27,8.287820|3.000000,4.523303747177124,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,28,8.287820|3.000000,4.511375665664673,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,29,8.287820|3.000000,4.682236194610596,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,30,8.287820|3.000000,4.537846088409424,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,31,8.287820|3.000000,4.527612209320068,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,32,8.287820|3.000000,4.417135715484619,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,33,8.287820|3.000000,4.4110729694366455,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,34,8.287820|3.000000,4.577809810638428,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,35,8.287820|3.000000,4.51150107383728,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,36,8.287820|3.000000,4.45493483543396,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,37,8.287820|3.000000,4.485854864120483,3.0,7.104368|3.000000,7.104368|3.000000,3,0.123746,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,38,8.287820|3.000000,4.428935289382935,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,39,8.287820|3.000000,4.413480043411255,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,40,8.287820|3.000000,4.3936052322387695,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,41,8.287820|3.000000,4.489110946655273,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,42,8.287820|3.000000,4.353187084197998,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,43,8.287820|3.000000,4.626214027404785,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,44,8.287820|3.000000,4.591709852218628,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,45,8.287820|3.000000,4.522911071777344,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,46,8.287820|3.000000,4.465199947357178,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,47,8.287820|3.000000,4.507113933563232,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,48,8.287820|3.000000,4.313780069351196,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,49,8.287820|3.000000,4.3968071937561035,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,50,8.287820|3.000000,4.43149995803833,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,51,8.287820|3.000000,4.494215965270996,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
MOGP_NSGAII,1688e740-e77d-11f0-b717-6e001b3eef54,Boston,74,52,8.287820|3.000000,4.452883005142212,3.0,7.104368|3.000000,7.104368|3.000000,3,0.134277,N/A,5
