MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,39,4.559990|3.000000,5.21386194229126,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,40,4.559990|3.000000,5.209707975387573,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,41,4.559990|3.000000,5.112165927886963,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,42,4.559990|3.000000,4.959610939025879,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,43,4.559990|3.000000,5.018918991088867,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,44,4.559990|3.000000,5.07451605796814,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,45,4.559990|3.000000,4.998045921325684,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,46,4.559990|3.000000,5.083148956298828,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,47,4.559990|3.000000,5.070641994476318,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,48,4.559990|3.000000,5.202509880065918,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,49,4.559990|3.000000,5.082683086395264,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,50,4.559990|3.000000,5.088228225708008,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,51,4.559990|3.000000,5.058896064758301,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,52,4.559990|3.000000,5.147632837295532,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,53,4.559990|3.000000,5.114373207092285,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
