MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,39,7.608275|7.000000|1.000000,0.026563167572021484,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,110226374656.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,40,7.608275|7.000000|1.000000,0.025980472564697266,7.0,8.696528|7.000000|1.000000,7.608275|7.000000|1.000000,8.696528|7.000000|1.000000,7,77653901312.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,41,7.468781|23.000000|3.000000,0.02705073356628418,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,41936207872.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,42,7.468781|23.000000|3.000000,0.026349306106567383,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,61956460544.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,43,7.468781|23.000000|3.000000,0.027516603469848633,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,72779464704.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,44,7.468781|23.000000|3.000000,0.02656269073486328,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,126500397056.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,45,7.468781|23.000000|3.000000,0.026607751846313477,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,92973129728.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,46,7.468781|23.000000|3.000000,0.027283430099487305,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,86745227264.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,47,7.468781|23.000000|3.000000,0.026806116104125977,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,110513799168.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,48,7.468781|23.000000|3.000000,0.02634596824645996,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,75549466624.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,49,7.468781|23.000000|3.000000,0.026874780654907227,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,104040890368.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,50,7.468781|23.000000|3.000000,0.026815414428710938,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,30451943424.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,51,7.468781|23.000000|3.000000,0.027103900909423828,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,72644919296.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,52,7.468781|23.000000|3.000000,0.026513338088989258,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,70492266496.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,53,7.468781|23.000000|3.000000,0.026880264282226562,23.0,8.122957|23.000000|3.000000,7.468781|23.000000|3.000000,8.122957|23.000000|3.000000,23,101499052032.000000,N/A,2,5
