MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,41,7.872597|7.000000|1.000000,0.02695322036743164,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,103440359424.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,42,7.872597|7.000000|1.000000,0.026027917861938477,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,74402791424.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,43,7.872597|7.000000|1.000000,0.027561187744140625,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,79653003264.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,44,7.872597|7.000000|1.000000,0.02626490592956543,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,73190596608.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,45,7.872597|7.000000|1.000000,0.026361942291259766,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,83636535296.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,46,7.872597|7.000000|1.000000,0.02705240249633789,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,105769746432.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,47,7.872597|7.000000|1.000000,0.026776790618896484,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,68353916928.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,48,7.872597|7.000000|1.000000,0.026391267776489258,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,89433014272.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,49,7.872597|7.000000|1.000000,0.02693462371826172,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,102969327616.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,50,7.872597|7.000000|1.000000,0.026497364044189453,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,88736948224.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,51,7.872597|7.000000|1.000000,0.026623249053955078,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,72716050432.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,52,7.872597|7.000000|1.000000,0.02634286880493164,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,48199458816.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,53,7.872597|7.000000|1.000000,0.02696371078491211,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,96218562560.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,54,7.872597|7.000000|1.000000,0.02609705924987793,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,89213001728.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,55,7.872597|7.000000|1.000000,0.025571823120117188,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,49302876160.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,56,7.872597|7.000000|1.000000,0.027549028396606445,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,82078253056.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,57,7.872597|7.000000|1.000000,0.026266098022460938,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,72152997888.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,58,7.872597|7.000000|1.000000,0.026937484741210938,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,44239167488.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,59,7.872597|7.000000|1.000000,0.027399063110351562,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,114712502272.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,60,7.872597|7.000000|1.000000,0.026100873947143555,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,96217432064.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,61,7.872597|7.000000|1.000000,0.026949644088745117,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,92246441984.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,62,7.872597|7.000000|1.000000,0.026934146881103516,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,63186022400.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,63,7.872597|7.000000|1.000000,0.02698349952697754,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,82760392704.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,64,7.872597|7.000000|1.000000,0.026524066925048828,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,97623588864.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,65,7.872597|7.000000|1.000000,0.025969266891479492,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,77334478848.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,66,7.872597|7.000000|1.000000,0.026128292083740234,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,90957709312.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,67,7.872597|7.000000|1.000000,0.0264739990234375,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,92461350912.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,68,7.872597|7.000000|1.000000,0.026366472244262695,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,84735524864.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,69,7.872597|7.000000|1.000000,0.02615809440612793,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,35251478528.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,70,7.872597|7.000000|1.000000,0.02698969841003418,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,82725961728.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,71,7.872597|7.000000|1.000000,0.026984453201293945,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,76406546432.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,72,7.872597|7.000000|1.000000,0.025711536407470703,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,74901553152.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,73,7.872597|7.000000|1.000000,0.026189804077148438,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,80894697472.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,74,7.872597|7.000000|1.000000,0.027708768844604492,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,85951176704.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,75,7.872597|7.000000|1.000000,0.026107311248779297,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,87377666048.000000,N/A,2,5
MOGP_GENERATIONAL,5f66ee0a-157f-11f1-9378-303ea725c124,Boston,74,76,7.872597|7.000000|1.000000,0.025473594665527344,7.0,8.130173|7.000000|1.000000,7.872597|7.000000|1.000000,8.130173|7.000000|1.000000,7,131557310464.000000,N/A,2,5
