MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,40,4.557420|3.000000,0.018897056579589844,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,103402799104.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,41,4.557420|3.000000,0.019083738327026367,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,72574164992.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,42,4.557420|3.000000,0.019014596939086914,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,116243193856.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,43,4.557420|3.000000,0.019710540771484375,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,135001047040.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,44,4.557420|3.000000,0.019822359085083008,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,143579824128.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,45,4.557420|3.000000,0.019172191619873047,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,102645923840.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,46,4.557420|3.000000,0.019305944442749023,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,96203530240.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,47,4.557420|3.000000,0.019322633743286133,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,102187130880.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,48,4.557420|3.000000,0.02001667022705078,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,85914222592.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,49,4.557420|3.000000,0.01914501190185547,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,114724536320.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,50,4.557420|3.000000,0.01982712745666504,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,70534103040.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,51,4.557420|3.000000,0.01852130889892578,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,104623144960.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,52,4.557420|3.000000,0.01949310302734375,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,62526222336.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,53,4.557420|3.000000,0.01993250846862793,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,139998789632.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,54,4.557420|3.000000,0.018889427185058594,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,96418643968.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,55,4.557420|3.000000,0.019290685653686523,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,111195750400.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,56,4.557420|3.000000,0.01977086067199707,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,78139817984.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,57,4.557420|3.000000,0.01933765411376953,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,73994067968.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,58,4.557420|3.000000,0.01920795440673828,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,96204120064.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,59,4.557420|3.000000,0.01950669288635254,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,60,4.557420|3.000000,0.0187833309173584,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,76841844736.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,61,4.557420|3.000000,0.019071340560913086,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,85601640448.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,62,4.557420|3.000000,0.0196683406829834,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99498721280.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,63,4.557420|3.000000,0.019109010696411133,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,82722938880.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,64,4.557420|3.000000,0.01896381378173828,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,43541065728.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,65,4.557420|3.000000,0.019425630569458008,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,123101724672.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,66,4.557420|3.000000,0.01857471466064453,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,86305267712.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,67,4.557420|3.000000,0.020247220993041992,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,130004123648.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,68,4.557420|3.000000,0.018815994262695312,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,70533398528.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,69,4.557420|3.000000,0.019104719161987305,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,66975559680.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,70,4.557420|3.000000,0.01894998550415039,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,117740150784.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,71,4.557420|3.000000,0.01911330223083496,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,121550389248.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,72,4.557420|3.000000,0.019532203674316406,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,136677875712.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,73,4.557420|3.000000,0.01951432228088379,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,74329341952.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,74,4.557420|3.000000,0.019998550415039062,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,86378971136.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,75,4.557420|3.000000,0.020044803619384766,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,121639346176.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,76,4.557420|3.000000,0.019394636154174805,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,65216991232.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,77,4.557420|3.000000,0.01995110511779785,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,115654746112.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,78,4.557420|3.000000,0.018752574920654297,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,33891733504.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,79,4.557420|3.000000,0.019435644149780273,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,118714015744.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,80,4.557420|3.000000,0.018915414810180664,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,82444623872.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,81,4.557420|3.000000,0.01990342140197754,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,117284904960.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,82,4.557420|3.000000,0.01893305778503418,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,121031581696.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,83,4.557420|3.000000,0.019580602645874023,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,108741828608.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,84,4.557420|3.000000,0.019162654876708984,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,85417582592.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,85,4.557420|3.000000,0.020560026168823242,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,128837050368.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,86,4.557420|3.000000,0.02010178565979004,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,87595819008.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,87,4.557420|3.000000,0.01897907257080078,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,88,4.557420|3.000000,0.018947839736938477,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,82725593088.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,89,4.557420|3.000000,0.01918768882751465,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,131124371456.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,90,4.557420|3.000000,0.01904773712158203,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99260104704.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,91,4.557420|3.000000,0.01954054832458496,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,121822257152.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,92,4.557420|3.000000,0.019947528839111328,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,93722304512.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,93,4.557420|3.000000,0.018406391143798828,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,31966822400.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,94,4.557420|3.000000,0.018538951873779297,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,95773933568.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,95,4.557420|3.000000,0.020349740982055664,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,116987707392.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,96,4.557420|3.000000,0.01905345916748047,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,66097610752.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,97,4.557420|3.000000,0.018980979919433594,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,119430758400.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,98,4.557420|3.000000,0.0191957950592041,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,70237528064.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,99,4.557420|3.000000,0.05592083930969238,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,113033936896.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,100,4.557420|3.000000,0.01992177963256836,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,106019184640.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,101,4.557420|3.000000,0.01842808723449707,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,71058219008.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,102,4.557420|3.000000,0.018988847732543945,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99935895552.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,103,4.557420|3.000000,0.019562959671020508,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,68980875264.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,104,4.557420|3.000000,0.019202709197998047,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,101784788992.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,105,4.557420|3.000000,0.019761085510253906,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,73771433984.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,106,4.557420|3.000000,0.019366025924682617,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,111917285376.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,107,4.557420|3.000000,0.017899513244628906,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,44541759488.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,108,4.557420|3.000000,0.018633127212524414,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,23720431616.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,109,4.557420|3.000000,0.018996000289916992,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,65954263040.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,110,4.557420|3.000000,0.020578622817993164,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,114915049472.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,111,4.557420|3.000000,0.019837141036987305,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,99498352640.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,112,4.557420|3.000000,0.01967024803161621,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,111100985344.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,113,4.557420|3.000000,0.018358469009399414,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,114409996288.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,114,4.557420|3.000000,0.01882195472717285,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,56923299840.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,115,4.557420|3.000000,0.019095659255981445,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,49938587648.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,116,4.557420|3.000000,0.01890277862548828,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,49937367040.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,117,4.557420|3.000000,0.019059181213378906,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,110885453824.000000,N/A,1,5
MOGP_GENERATIONAL,71f4e602-1508-11f1-9378-303ea725c124,Cooling,74,118,4.557420|3.000000,0.019318580627441406,3.0,4.522584|3.000000,4.557420|3.000000,4.522584|3.000000,3,110455906304.000000,N/A,1,5
