MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,53,4.557420|3.000000|1.000000,0.0267179012298584,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,120864342016.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,54,4.557420|3.000000|1.000000,0.027249574661254883,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,57553879040.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,55,4.557420|3.000000|1.000000,0.026270151138305664,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,92944965632.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,56,4.557420|3.000000|1.000000,0.027570009231567383,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,66989785088.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,57,4.557420|3.000000|1.000000,0.026593923568725586,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,99751403520.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,58,4.557420|3.000000|1.000000,0.027448177337646484,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,121551265792.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,59,4.557420|3.000000|1.000000,0.026840925216674805,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,81814880256.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,60,4.557420|3.000000|1.000000,0.02688765525817871,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,125433856000.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,61,4.557420|3.000000|1.000000,0.026417255401611328,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,79683584000.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,62,4.557420|3.000000|1.000000,0.026297807693481445,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,23696218112.000000,N/A,2,5
