MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,49,2033.626953|7.000000,0.022076845169067383,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,62122409984.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,50,2033.626953|7.000000,0.02078986167907715,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,73300770816.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,51,2033.626953|7.000000,0.01985001564025879,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,41024602112.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,52,2033.626953|7.000000,0.020292997360229492,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,58333949952.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,53,2033.626953|7.000000,0.02148604393005371,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,5524605440.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,54,2033.626953|7.000000,0.019881010055541992,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,43462762496.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,55,2033.626953|7.000000,0.021944761276245117,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,4941890.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,56,2033.626953|7.000000,0.01939868927001953,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,12449896448.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,57,2033.626953|7.000000,0.019683837890625,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,47195058176.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,58,2033.626953|7.000000,0.09028410911560059,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,30044063744.000000,N/A,5
MOGP_GENERATIONAL,359792a6-f094-11f0-91b9-6e001b3eef54,Toxicity,74,59,2033.626953|7.000000,0.020454883575439453,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,48875040768.000000,N/A,5
