MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,26,9.739157|3.000000,0.09725022315979004,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,88817434624.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,27,9.739157|3.000000,0.014618873596191406,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,8842501120.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,28,9.739157|3.000000,0.014854907989501953,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,19210186752.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,29,9.739157|3.000000,0.027425050735473633,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,33500512256.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,30,9.739157|3.000000,0.017934083938598633,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,126800510976.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,31,9.739157|3.000000,0.01580977439880371,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,68460101632.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,32,9.739157|3.000000,0.031707763671875,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,80421494784.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,33,9.739157|3.000000,0.01530909538269043,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,103156203520.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,34,9.739157|3.000000,0.019219160079956055,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,107298390016.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,35,9.739157|3.000000,0.015881061553955078,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,62992179200.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,36,9.739157|3.000000,0.01556706428527832,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,63006314496.000000,9.838818|3.000000,5
MOGP_GENERATIONAL,291a72fc-f114-11f0-894a-6e001b3eef54,Boston,74,37,9.739157|3.000000,0.02361583709716797,3.0,8.965955|3.000000,9.739157|3.000000,8.965955|3.000000,3,98952331264.000000,9.838818|3.000000,5
