MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,37,9.528811|3.000000|0.000000,9.466433048248291,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,38,9.528811|3.000000|0.000000,9.774473905563354,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,39,9.528811|3.000000|0.000000,9.531131982803345,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,40,9.528811|3.000000|0.000000,9.310513973236084,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,41,9.528811|3.000000|0.000000,9.494033098220825,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,42,9.528811|3.000000|0.000000,9.555208206176758,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,43,9.528811|3.000000|0.000000,910.0805189609528,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,44,9.528811|3.000000|0.000000,9.622334003448486,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,45,9.528811|3.000000|0.000000,9.619091987609863,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,46,9.528811|3.000000|0.000000,16.61310315132141,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,47,9.528811|3.000000|0.000000,910.0676629543304,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,48,9.528811|3.000000|0.000000,9.324671983718872,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,49,9.528811|3.000000|0.000000,909.8511891365051,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,50,9.528811|3.000000|0.000000,909.6816508769989,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,51,9.528811|3.000000|0.000000,9.2864351272583,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
MOGP_NSGAII,bcdd8788-e8a2-11f0-be05-6e001b3eef54,Cooling,74,52,9.528811|3.000000|0.000000,140.56776976585388,3.0,9.486295|3.000000|0.000000,4.636782|3.000000|1.000000,3,0.354151,N/A,5
