MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,93,4.570655|3.000000,0.01880049705505371,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,51329265664.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,94,4.570655|3.000000,0.018782377243041992,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,116869439488.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,95,4.570655|3.000000,0.02000904083251953,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,86297903104.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,96,4.570655|3.000000,0.01928400993347168,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,77169229824.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,97,4.570655|3.000000,0.018800735473632812,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,43528073216.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,98,4.570655|3.000000,0.019512414932250977,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,3519354368.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,99,4.570655|3.000000,0.019130945205688477,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,78776737792.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,100,4.570655|3.000000,0.019800186157226562,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,116834107392.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,101,4.570655|3.000000,0.018851041793823242,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,38677.812500,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,102,4.570655|3.000000,0.019428253173828125,3.0,4.491426|3.000000,4.570655|3.000000,4.491426|3.000000,3,138925719552.000000,N/A,1,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,103,4.456892|5.000000,0.019562721252441406,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,120634499072.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,104,4.456892|5.000000,0.020105600357055664,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,134709018624.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,105,4.456892|5.000000,0.019260883331298828,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,87081615360.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,106,4.456892|5.000000,0.019593000411987305,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,55791714304.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,107,4.456892|5.000000,0.018095016479492188,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,77330694144.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,108,4.456892|5.000000,0.01902008056640625,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,68264456192.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,109,4.456892|5.000000,0.01976776123046875,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,124266668032.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,110,4.456892|5.000000,0.020140647888183594,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,124515540992.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,111,4.456892|5.000000,0.019873857498168945,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,99498754048.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,112,4.456892|5.000000,0.019355058670043945,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,62419193856.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,113,4.456892|5.000000,0.018518686294555664,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,93953515520.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,114,4.456892|5.000000,0.018810033798217773,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,59806228480.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,115,4.456892|5.000000,0.019055843353271484,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,86278635520.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,116,4.456892|5.000000,0.019290924072265625,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,121542090752.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,117,4.456892|5.000000,0.019272804260253906,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,120966406144.000000,N/A,2,5
MOGP_GENERATIONAL,a7258e54-1511-11f1-9378-303ea725c124,Cooling,74,118,4.456892|5.000000,0.01987314224243164,5.0,4.427434|5.000000,4.456892|5.000000,4.427434|5.000000,5,123419607040.000000,N/A,2,5
