MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,51,4.544744|3.000000,0.01837921142578125,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,83771506688.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,52,4.544744|3.000000,0.01921534538269043,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,70608297984.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,53,4.544744|3.000000,0.019810199737548828,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,110436892672.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,54,4.544744|3.000000,0.018973827362060547,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,80606691328.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,55,4.544744|3.000000,0.019927263259887695,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,76620103680.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,56,4.544744|3.000000,0.018830537796020508,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,105941196800.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,57,4.544744|3.000000,0.020293712615966797,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,93852024832.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,58,4.544744|3.000000,0.019639015197753906,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,99497615360.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,59,4.544744|3.000000,0.018603086471557617,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,85417541632.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,60,4.544744|3.000000,0.01850581169128418,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,61,4.544744|3.000000,0.01907205581665039,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,108949716992.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,62,4.544744|3.000000,0.018868207931518555,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82645131264.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,63,4.544744|3.000000,0.01951003074645996,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,55227072512.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,64,4.544744|3.000000,0.019314050674438477,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,66041262080.000000,N/A,1,5
