MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,50,4.554414|3.000000,5.360702991485596,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,51,4.554414|3.000000,5.34228515625,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,52,4.554414|3.000000,5.438813924789429,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,53,4.554414|3.000000,5.359576225280762,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,54,4.554414|3.000000,5.550906658172607,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,55,4.554414|3.000000,5.377603769302368,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,56,4.554414|3.000000,5.50987696647644,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,57,4.554414|3.000000,5.272716999053955,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,58,4.554414|3.000000,5.424408912658691,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,59,4.554414|3.000000,5.406109809875488,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,60,4.554414|3.000000,5.419050931930542,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,61,4.554414|3.000000,5.409035921096802,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,62,4.554414|3.000000,5.512994766235352,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,63,4.554414|3.000000,5.575494050979614,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,64,4.554414|3.000000,5.598832845687866,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,65,4.554414|3.000000,5.477223873138428,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,66,4.554414|3.000000,5.346256971359253,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,67,4.554414|3.000000,5.390349864959717,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,68,4.554414|3.000000,5.3806140422821045,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,69,4.554414|3.000000,5.377873182296753,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,70,4.554414|3.000000,5.384253978729248,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,71,4.554414|3.000000,5.309578895568848,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,72,4.554414|3.000000,5.5194947719573975,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,73,4.554414|3.000000,5.568403244018555,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,74,4.554414|3.000000,5.399214029312134,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,75,4.554414|3.000000,5.348293781280518,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,76,4.554414|3.000000,5.306354999542236,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
MOGP_NSGAII,3948a886-f157-11f0-9e32-6e001b3eef54,Cooling,74,77,4.554414|3.000000,5.439232110977173,3.0,4.529619|3.000000,4.059708|7.000000,4.192966|7.000000,7,0.035600,N/A,5
