MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,24,7.037997|7.000000|2.000000,0.026834964752197266,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,38150389760.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,25,7.037997|7.000000|2.000000,0.02651047706604004,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,105524944896.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,26,7.037997|7.000000|2.000000,0.026385784149169922,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,70064300032.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,27,7.037997|7.000000|2.000000,0.026209354400634766,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,59629162496.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,28,7.037997|7.000000|2.000000,0.026740312576293945,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,34510635008.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,29,7.037997|7.000000|2.000000,0.026813507080078125,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,82696060928.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,30,7.037997|7.000000|2.000000,0.027506589889526367,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,98234155008.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,31,7.037997|7.000000|2.000000,0.026269197463989258,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,53454921728.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,32,7.037997|7.000000|2.000000,0.02650284767150879,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,58793140224.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,33,7.037997|7.000000|2.000000,0.026778697967529297,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,85176713216.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,34,7.037997|7.000000|2.000000,0.026322126388549805,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74921197568.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,35,7.037997|7.000000|2.000000,0.026261091232299805,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,70955769856.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,36,7.037997|7.000000|2.000000,0.027770280838012695,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,71625129984.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,37,7.037997|7.000000|2.000000,0.0265500545501709,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,46067023872.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,38,7.037997|7.000000|2.000000,0.0256345272064209,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74396319744.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,39,7.037997|7.000000|2.000000,0.026525020599365234,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,61806747648.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,40,7.037997|7.000000|2.000000,0.025733470916748047,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,74183311360.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,41,7.037997|7.000000|2.000000,0.026711225509643555,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,98750316544.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,42,7.037997|7.000000|2.000000,0.02613663673400879,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,102575595520.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,43,7.037997|7.000000|2.000000,0.02729511260986328,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,62533898240.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,44,7.037997|7.000000|2.000000,0.02703571319580078,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,105194332160.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,45,7.037997|7.000000|2.000000,0.026697158813476562,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,67528667136.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,46,7.037997|7.000000|2.000000,0.027218341827392578,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,102087352320.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,47,7.037997|7.000000|2.000000,0.026900053024291992,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,98343239680.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,48,7.037997|7.000000|2.000000,0.026564836502075195,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,30803664896.000000,N/A,2,5
