MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,34,4.389738|3.000000|1.000000,0.025820493698120117,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,89201147904.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,35,4.389738|3.000000|1.000000,0.027784347534179688,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,105158049792.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,36,4.389738|3.000000|1.000000,0.02716207504272461,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,86277144576.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,37,4.389738|3.000000|1.000000,0.02658247947692871,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,84231028736.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,38,4.389738|3.000000|1.000000,0.02672123908996582,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,74359267328.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,39,4.389738|3.000000|1.000000,0.026679039001464844,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,79538823168.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,40,4.389738|3.000000|1.000000,0.026874065399169922,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,146810044416.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,41,4.389738|3.000000|1.000000,0.026491403579711914,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,105802391552.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,42,4.389738|3.000000|1.000000,0.026767253875732422,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,69611823104.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,43,4.389738|3.000000|1.000000,0.026718854904174805,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,59638460416.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,44,4.389738|3.000000|1.000000,0.025940895080566406,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,82807824384.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,45,4.389738|3.000000|1.000000,0.02642083168029785,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,122731462656.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,46,4.389738|3.000000|1.000000,0.027785062789916992,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,114389803008.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,47,4.389738|3.000000|1.000000,0.026849746704101562,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,102331080704.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,48,4.389738|3.000000|1.000000,0.02739715576171875,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,85524152320.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,49,4.389738|3.000000|1.000000,0.027057409286499023,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,93128671232.000000,N/A,2,5
