MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,25,4.477321|3.000000|1.000000,0.026417970657348633,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,93952180224.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,26,4.477321|3.000000|1.000000,0.026841163635253906,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,107636760576.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,27,4.477321|3.000000|1.000000,0.026839017868041992,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,55665254400.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,28,4.477321|3.000000|1.000000,0.026022911071777344,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,29,4.477321|3.000000|1.000000,0.027615785598754883,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,113949368320.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,30,4.477321|3.000000|1.000000,0.02724170684814453,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,69493833728.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,31,4.477321|3.000000|1.000000,0.027454376220703125,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,82890833920.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,32,4.477321|3.000000|1.000000,0.026658058166503906,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,115567083520.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,33,4.477321|3.000000|1.000000,0.025968551635742188,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,12292423680.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,34,4.477321|3.000000|1.000000,0.026660442352294922,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,110466310144.000000,N/A,2,5
