MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,51,4.570655|3.000000|1.000000,0.027396202087402344,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,104317829120.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,52,4.570655|3.000000|1.000000,0.0274202823638916,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,136157192192.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,53,4.570655|3.000000|1.000000,0.026820659637451172,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,130455552000.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,54,4.570655|3.000000|1.000000,0.027242183685302734,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,57561550848.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,55,4.570655|3.000000|1.000000,0.026408910751342773,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,93019095040.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,56,4.570655|3.000000|1.000000,0.02759718894958496,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,67074072576.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,57,4.570655|3.000000|1.000000,0.026523828506469727,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,99828916224.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,58,4.570655|3.000000|1.000000,0.027378320693969727,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,121551257600.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,59,4.570655|3.000000|1.000000,0.026739120483398438,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,81925668864.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,60,4.570655|3.000000|1.000000,0.026646137237548828,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,125455540224.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,61,4.570655|3.000000|1.000000,0.02645134925842285,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,79799271424.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,62,4.570655|3.000000|1.000000,0.026447296142578125,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,23413065728.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,63,4.570655|3.000000|1.000000,0.026916980743408203,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,99518619648.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,64,4.570655|3.000000|1.000000,0.0266416072845459,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,82858065920.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,65,4.570655|3.000000|1.000000,0.026110410690307617,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,85442453504.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,66,4.570655|3.000000|1.000000,0.02615952491760254,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,79799271424.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,67,4.570655|3.000000|1.000000,0.026511430740356445,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,94122967040.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,68,4.570655|3.000000|1.000000,0.02666926383972168,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,100513316864.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,69,4.570655|3.000000|1.000000,0.02689981460571289,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,95970082816.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,70,4.570655|3.000000|1.000000,0.027857542037963867,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,128216260608.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,71,4.570655|3.000000|1.000000,0.02611851692199707,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,126527635456.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,72,4.570655|3.000000|1.000000,0.026043415069580078,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,73445261312.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,73,4.570655|3.000000|1.000000,0.06259012222290039,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,117082521600.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,74,4.570655|3.000000|1.000000,0.027838945388793945,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,76044500992.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,75,4.570655|3.000000|1.000000,0.02598714828491211,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,78896472064.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,76,4.570655|3.000000|1.000000,0.026526212692260742,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,140000018432.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,77,4.570655|3.000000|1.000000,0.027328968048095703,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,121877569536.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,78,4.570655|3.000000|1.000000,0.02812671661376953,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,126822195200.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,79,4.570655|3.000000|1.000000,0.027115821838378906,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,95721586688.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,80,4.570655|3.000000|1.000000,0.027607202529907227,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,101951373312.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,81,4.570655|3.000000|1.000000,0.026349306106567383,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,109012213760.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,82,4.570655|3.000000|1.000000,0.02695918083190918,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,70533423104.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,83,4.570655|3.000000|1.000000,0.027333498001098633,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,84,4.570655|3.000000|1.000000,0.02702188491821289,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,106490355712.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,85,4.570655|3.000000|1.000000,0.02705097198486328,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,107843780608.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,86,4.570655|3.000000|1.000000,0.02630782127380371,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,69508308992.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,87,4.570655|3.000000|1.000000,0.02805328369140625,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,96876830720.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,88,4.570655|3.000000|1.000000,0.02644944190979004,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,142584397824.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,89,4.570655|3.000000|1.000000,0.027283430099487305,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,110980997120.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,90,4.570655|3.000000|1.000000,0.02626347541809082,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,96563650560.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,91,4.570655|3.000000|1.000000,0.027228832244873047,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,82751242240.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,92,4.570655|3.000000|1.000000,0.026862144470214844,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,70534455296.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,93,4.570655|3.000000|1.000000,0.026434898376464844,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,86278643712.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,94,4.570655|3.000000|1.000000,0.02731776237487793,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,94165622784.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,95,4.570655|3.000000|1.000000,0.026684045791625977,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,99501006848.000000,N/A,2,5
MOGP_GENERATIONAL,a5b419d6-1512-11f1-9378-303ea725c124,Cooling,74,96,4.570655|3.000000|1.000000,0.027255773544311523,3.0,4.491426|3.000000|1.000000,4.570655|3.000000|1.000000,4.491426|3.000000|1.000000,3,123406376960.000000,N/A,2,5
