MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,51,2161.450439|15.000000|2.000000,0.028902053833007812,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,63173652480.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,52,2161.450439|15.000000|2.000000,0.028744220733642578,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,50546638848.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,53,2161.450439|15.000000|2.000000,0.02939629554748535,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,17645328384.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,54,2161.450439|15.000000|2.000000,0.02822113037109375,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,59352743936.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,55,2161.450439|15.000000|2.000000,0.028985977172851562,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,84822843392.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,56,2161.450439|15.000000|2.000000,0.029189348220825195,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,4590896640.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,57,2161.450439|15.000000|2.000000,0.031005382537841797,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,63579222016.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,58,2161.450439|15.000000|2.000000,0.02826714515686035,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,62492921856.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,59,2161.450439|15.000000|2.000000,0.03021550178527832,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,45247483904.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,60,2161.450439|15.000000|2.000000,0.030738353729248047,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,52303429632.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,61,2161.450439|15.000000|2.000000,0.03145098686218262,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,79655436288.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,62,2161.450439|15.000000|2.000000,0.028092384338378906,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,43943358464.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,63,2161.450439|15.000000|2.000000,0.028977394104003906,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,78728642560.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,64,2161.450439|15.000000|2.000000,0.02787613868713379,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,53083516928.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,65,2161.450439|15.000000|2.000000,0.026944875717163086,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,21777774592.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,66,2161.450439|15.000000|2.000000,0.02914571762084961,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,70533677056.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,67,2161.450439|15.000000|2.000000,0.028028488159179688,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,34733867008.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,68,2161.450439|15.000000|2.000000,0.028502464294433594,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,10886462464.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,69,2161.450439|15.000000|2.000000,0.028486967086791992,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,71228260352.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,70,2161.450439|15.000000|2.000000,0.028568267822265625,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,83351568384.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,71,2161.450439|15.000000|2.000000,0.03040623664855957,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,69773254656.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,72,2161.450439|15.000000|2.000000,0.02845621109008789,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,31903281152.000000,N/A,2,5
