MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.768082857131958,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,12,9.346452|3.000000,3.8333449363708496,3.0,9.205783|3.000000,9.205783|3.000000,3,0.069880,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,13,9.346452|3.000000,4.393311023712158,3.0,9.205783|3.000000,9.181577|9.000000,9,0.083127,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,14,9.346452|3.000000,4.362253904342651,3.0,9.205783|3.000000,9.181577|9.000000,9,0.088089,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,15,9.346452|3.000000,4.334891080856323,3.0,9.205783|3.000000,9.181577|9.000000,9,0.091477,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,16,9.346452|3.000000,4.21073579788208,3.0,9.205783|3.000000,9.181577|9.000000,9,0.098444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,17,9.346452|3.000000,4.019292116165161,3.0,9.205783|3.000000,9.658773|7.000000,7,0.111367,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,18,9.346452|3.000000,3.9473369121551514,3.0,9.205783|3.000000,9.658773|7.000000,7,0.117095,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,19,9.346452|3.000000,3.8104751110076904,3.0,9.205783|3.000000,9.658773|7.000000,7,0.124447,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,20,9.346452|3.000000,3.681581735610962,3.0,9.205783|3.000000,9.658773|7.000000,7,0.129417,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,21,9.346452|3.000000,3.7610130310058594,3.0,9.205783|3.000000,9.658773|7.000000,7,0.124329,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,22,9.346452|3.000000,3.9994938373565674,3.0,9.205783|3.000000,9.658773|7.000000,7,0.071500,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,23,9.346452|3.000000,4.900898218154907,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,24,9.346452|3.000000,5.165194034576416,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,25,9.346452|3.000000,4.861272096633911,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,26,9.346452|3.000000,5.047652721405029,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,27,9.346452|3.000000,4.96759295463562,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,28,9.346452|3.000000,5.091485977172852,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,29,9.346452|3.000000,5.357946872711182,3.0,9.205783|3.000000,9.658773|7.000000,7,0.047444,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,30,9.346452|3.000000,5.264744281768799,3.0,9.205783|3.000000,8.096146|5.000000,5,0.123590,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,31,9.346452|3.000000,5.040788888931274,3.0,9.205783|3.000000,8.096146|5.000000,5,0.123590,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,32,9.346452|3.000000,5.238080024719238,3.0,9.205783|3.000000,8.096146|5.000000,5,0.123590,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,33,9.346452|3.000000,5.069251298904419,3.0,9.205783|3.000000,8.096146|5.000000,5,0.123590,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,34,9.346452|3.000000,5.0971410274505615,3.0,9.205783|3.000000,8.096146|5.000000,5,0.123590,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,35,9.346452|3.000000,5.006511926651001,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,36,9.346452|3.000000,5.054694175720215,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,37,9.346452|3.000000,5.061431646347046,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,38,9.346452|3.000000,5.1041810512542725,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,39,9.346452|3.000000,5.118234157562256,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,40,9.346452|3.000000,5.078662872314453,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,41,9.346452|3.000000,4.999631881713867,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,42,9.346452|3.000000,4.966281175613403,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,43,9.346452|3.000000,5.25267219543457,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,44,9.346452|3.000000,5.125482082366943,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,45,9.346452|3.000000,5.229068040847778,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,46,9.346452|3.000000,5.134919881820679,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,47,9.346452|3.000000,5.2084081172943115,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,48,9.346452|3.000000,5.055794954299927,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,49,9.346452|3.000000,5.032768964767456,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,50,9.346452|3.000000,5.074740886688232,3.0,9.205783|3.000000,8.096146|5.000000,5,0.129274,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,51,9.346452|3.000000,5.057248115539551,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,52,9.346452|3.000000,5.040184736251831,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
