MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,65,8.448865|7.000000|1.000000,0.02589726448059082,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,70292815872.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,66,8.448865|7.000000|1.000000,0.026455163955688477,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,103486865408.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,67,8.448865|7.000000|1.000000,0.02638411521911621,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,113125326848.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,68,8.448865|7.000000|1.000000,0.026383399963378906,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,74994515968.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,69,8.448865|7.000000|1.000000,0.02620244026184082,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,54673465344.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,70,8.448865|7.000000|1.000000,0.0267486572265625,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,105991651328.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,71,8.448865|7.000000|1.000000,0.02736949920654297,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,88562941952.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,72,8.448865|7.000000|1.000000,0.025681495666503906,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,89050562560.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,73,8.448865|7.000000|1.000000,0.02620244026184082,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,69097037824.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,74,8.448865|7.000000|1.000000,0.027988910675048828,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,95893471232.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,75,8.448865|7.000000|1.000000,0.025999069213867188,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,81067032576.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,76,8.448865|7.000000|1.000000,0.026094436645507812,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,74541883392.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,77,8.448865|7.000000|1.000000,0.02664041519165039,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,61685604352.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,78,8.448865|7.000000|1.000000,0.026486635208129883,7.0,7.850465|7.000000|1.000000,8.448865|7.000000|1.000000,7.850465|7.000000|1.000000,7,99494371328.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,79,8.113361|7.000000|1.000000,0.026890993118286133,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,53726724096.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,80,8.113361|7.000000|1.000000,0.026721954345703125,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,58490081280.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,81,8.113361|7.000000|1.000000,0.026907682418823242,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,110757961728.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,82,8.113361|7.000000|1.000000,0.025647401809692383,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,3754834176.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,83,8.113361|7.000000|1.000000,0.0267336368560791,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,59004170240.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,84,8.113361|7.000000|1.000000,0.026484966278076172,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,63029088256.000000,N/A,2,5
MOGP_GENERATIONAL,f2723df8-13f4-11f1-9378-303ea725c124,Boston,74,85,8.113361|7.000000|1.000000,0.027361631393432617,7.0,7.558832|7.000000|1.000000,8.113361|7.000000|1.000000,7.558832|7.000000|1.000000,7,96510550016.000000,N/A,2,5
