MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,85,4.518628|3.000000|1.000000,0.026650667190551758,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,107828346880.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,86,4.518628|3.000000|1.000000,0.026324748992919922,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,69441634304.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,87,4.518628|3.000000|1.000000,0.028220653533935547,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,96382795776.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,88,4.518628|3.000000|1.000000,0.026146650314331055,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,142695448576.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,89,4.518628|3.000000|1.000000,0.027312517166137695,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,111022374912.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,90,4.518628|3.000000|1.000000,0.026337623596191406,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,96594247680.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,91,4.518628|3.000000|1.000000,0.027036190032958984,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,82639593472.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,92,4.518628|3.000000|1.000000,0.026988983154296875,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,70534381568.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,93,4.518628|3.000000|1.000000,0.026448726654052734,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,86278676480.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,94,4.518628|3.000000|1.000000,0.027112960815429688,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,93736206336.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,95,4.518628|3.000000|1.000000,0.026738643646240234,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,99503169536.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,96,4.518628|3.000000|1.000000,0.027156591415405273,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,123221508096.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,97,4.518628|3.000000|1.000000,0.02667379379272461,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,91375976448.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,98,4.518628|3.000000|1.000000,0.02622675895690918,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,70583590912.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,99,4.518628|3.000000|1.000000,0.02619338035583496,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,50710847488.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,100,4.518628|3.000000|1.000000,0.026140928268432617,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,59026014208.000000,N/A,2,5
MOGP_GENERATIONAL,290c0546-150e-11f1-9378-303ea725c124,Cooling,74,101,4.518628|3.000000|1.000000,0.028510570526123047,3.0,4.612183|3.000000|1.000000,4.518628|3.000000|1.000000,4.612183|3.000000|1.000000,3,141671530496.000000,N/A,2,5
