MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,77,7.957284|7.000000|1.000000,0.026747703552246094,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,60641415168.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,78,7.957284|7.000000|1.000000,0.02615070343017578,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,89836650496.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,79,7.957284|7.000000|1.000000,0.026752471923828125,7.0,7.935839|7.000000|1.000000,7.957284|7.000000|1.000000,7.935839|7.000000|1.000000,7,86749814784.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,80,7.942628|11.000000|2.000000,0.06385254859924316,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,56120000512.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,81,7.942628|11.000000|2.000000,0.02690267562866211,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,53689208832.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,82,7.942628|11.000000|2.000000,0.025736093521118164,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,80880205824.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,83,7.942628|11.000000|2.000000,0.0265045166015625,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,103445086208.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,84,7.942628|11.000000|2.000000,0.02642083168029785,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,47030243328.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,85,7.942628|11.000000|2.000000,0.027025461196899414,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,47317598208.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,86,7.942628|11.000000|2.000000,0.026368141174316406,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,25578719232.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,87,7.942628|11.000000|2.000000,0.026102542877197266,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,91613650944.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,88,7.942628|11.000000|2.000000,0.02665853500366211,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,102325714944.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,89,7.942628|11.000000|2.000000,0.02666449546813965,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,98758270976.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,90,7.942628|11.000000|2.000000,0.025707244873046875,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,78944411648.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,91,7.942628|11.000000|2.000000,0.027463674545288086,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,138311008256.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,92,7.942628|11.000000|2.000000,0.02651381492614746,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,77452812288.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,93,7.942628|11.000000|2.000000,0.02610301971435547,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,80914833408.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,94,7.942628|11.000000|2.000000,0.026675939559936523,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,90475536384.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,95,7.942628|11.000000|2.000000,0.02712869644165039,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,70235774976.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,96,7.942628|11.000000|2.000000,0.027701616287231445,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,73237733376.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,97,7.942628|11.000000|2.000000,0.026637554168701172,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,109739663360.000000,N/A,2,5
MOGP_GENERATIONAL,efc77be8-1545-11f1-9378-303ea725c124,Boston,74,98,7.942628|11.000000|2.000000,0.026358842849731445,11.0,7.890892|11.000000|2.000000,7.942628|11.000000|2.000000,7.890892|11.000000|2.000000,11,25435693056.000000,N/A,2,5
