MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,103,4.610571|3.000000,5.1407790184021,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,104,4.610571|3.000000,5.127683877944946,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,105,4.610571|3.000000,5.221447944641113,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,106,4.610571|3.000000,5.2261292934417725,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,107,4.610571|3.000000,5.254899978637695,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,108,4.610571|3.000000,5.152252912521362,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,109,4.610571|3.000000,5.331053018569946,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,110,4.610571|3.000000,5.239886045455933,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,111,4.610571|3.000000,5.110444068908691,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,112,4.610571|3.000000,5.124423980712891,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,113,4.610571|3.000000,5.159137010574341,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,114,4.610571|3.000000,5.1343371868133545,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,115,4.610571|3.000000,5.128523111343384,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,116,4.610571|3.000000,5.272510051727295,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,117,4.610571|3.000000,5.194737195968628,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,118,4.610571|3.000000,5.086053848266602,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,119,4.610571|3.000000,5.120498180389404,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,120,4.610571|3.000000,5.045379161834717,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,121,4.610571|3.000000,5.159558057785034,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,122,4.610571|3.000000,5.158421993255615,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,123,4.610571|3.000000,5.1302289962768555,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,124,4.610571|3.000000,5.1317548751831055,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,125,4.610571|3.000000,5.066225051879883,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,126,4.610571|3.000000,5.0693519115448,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,127,4.610571|3.000000,5.366052150726318,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,128,4.610571|3.000000,5.284935235977173,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,129,4.610571|3.000000,5.126266002655029,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,130,4.610571|3.000000,5.119250059127808,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,131,4.610571|3.000000,5.290154933929443,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
MOGP_NSGAII,f11907da-ea22-11f0-97f1-6e001b3eef54,Cooling,74,132,4.610571|3.000000,5.365840911865234,3.0,4.395564|3.000000,3.821388|9.000000,9,0.035811,N/A,5
