MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,11,9.651018|3.000000|0.000000,4.772301912307739,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.531490,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,12,9.651018|3.000000|0.000000,6.687726020812988,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.560454,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,13,9.651018|3.000000|0.000000,6.256967067718506,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.594524,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,14,9.651018|3.000000|0.000000,5.554103136062622,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.615370,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,15,9.651018|3.000000|0.000000,5.582550048828125,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.678271,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,16,9.651018|3.000000|0.000000,4.859977960586548,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.718170,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,17,9.651018|3.000000|0.000000,4.741121768951416,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.745346,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,18,9.651018|3.000000|0.000000,4.323872089385986,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.745426,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,19,9.651018|3.000000|0.000000,4.0847859382629395,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.715319,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,20,9.651018|3.000000|0.000000,4.093535900115967,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.610231,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,21,9.651018|3.000000|0.000000,4.2617809772491455,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.394159,N/A,5
MOGP_NSGAII,45b49f22-e6fc-11f0-b717-6e001b3eef54,Boston,74,22,9.651018|3.000000|0.000000,4.818731069564819,3.0,9.185236|3.000000|0.000000,7.893675|5.000000|2.000000,5,0.213982,N/A,5
