MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,29,8.243773|3.000000,5.279899835586548,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,30,8.243773|3.000000,5.54286003112793,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,31,8.243773|3.000000,5.274533987045288,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,32,8.243773|3.000000,5.410714149475098,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,33,8.243773|3.000000,5.292562007904053,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,34,8.243773|3.000000,5.274794101715088,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,35,8.243773|3.000000,5.326334238052368,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,36,8.243773|3.000000,5.29956579208374,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,37,8.243773|3.000000,5.22874903678894,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,38,8.243773|3.000000,5.355170011520386,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,39,8.243773|3.000000,5.296628952026367,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,40,8.243773|3.000000,5.227184295654297,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,41,8.243773|3.000000,5.249050855636597,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,42,8.243773|3.000000,5.328978061676025,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,43,8.243773|3.000000,5.506724834442139,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,44,8.243773|3.000000,5.248215198516846,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,45,8.243773|3.000000,5.408326864242554,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,46,8.243773|3.000000,5.021092176437378,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,47,8.243773|3.000000,5.264051914215088,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
MOGP_NSGAII,34f8e55a-e880-11f0-95ab-6e001b3eef54,Boston,74,48,8.243773|3.000000,5.0100319385528564,3.0,7.222734|3.000000,7.222734|3.000000,3,0.183220,N/A,5
