MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,28,7.055313|7.000000|2.000000,0.026877880096435547,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,68803256320.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,29,7.055313|7.000000|2.000000,0.026712894439697266,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,69048336384.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,30,7.055313|7.000000|2.000000,0.02742147445678711,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,100740538368.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,31,7.055313|7.000000|2.000000,0.02623772621154785,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,53278937088.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,32,7.055313|7.000000|2.000000,0.02665853500366211,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,59124838400.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,33,7.055313|7.000000|2.000000,0.02688765525817871,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,84965883904.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,34,7.055313|7.000000|2.000000,0.02659296989440918,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,89263915008.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,35,7.055313|7.000000|2.000000,0.026311159133911133,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,63982411776.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,36,7.055313|7.000000|2.000000,0.02738809585571289,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,82534236160.000000,N/A,2,5
MOGP_GENERATIONAL,2104655a-1478-11f1-9378-303ea725c124,Boston,74,37,7.055313|7.000000|2.000000,0.02654242515563965,7.0,7.198538|7.000000|2.000000,7.055313|7.000000|2.000000,7.198538|7.000000|2.000000,7,57781649408.000000,N/A,2,5
