MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,88,4.507786|3.000000,9.699892044067383,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,89,4.507786|3.000000,9.44645094871521,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,90,4.507786|3.000000,9.646636009216309,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,91,4.507786|3.000000,9.796910762786865,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,92,4.507786|3.000000,9.323758840560913,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,93,4.507786|3.000000,9.43246603012085,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,94,4.507786|3.000000,9.79670000076294,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,95,4.507786|3.000000,9.44942593574524,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,96,4.507786|3.000000,9.619813203811646,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,97,4.507786|3.000000,9.544544219970703,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,98,4.507786|3.000000,9.56062388420105,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,99,4.507786|3.000000,9.808116912841797,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,100,4.507786|3.000000,9.707704067230225,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,101,4.507786|3.000000,9.597769260406494,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,102,4.507786|3.000000,9.643635988235474,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,103,4.507786|3.000000,9.610566139221191,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,104,4.507786|3.000000,9.279186964035034,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,105,4.507786|3.000000,9.405702114105225,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,106,4.507786|3.000000,9.609947919845581,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,107,4.507786|3.000000,9.53475022315979,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,108,4.507786|3.000000,9.598323106765747,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,109,4.507786|3.000000,9.347317218780518,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,110,4.507786|3.000000,1093.7407789230347,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,111,4.507786|3.000000,12.295289039611816,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,112,4.507786|3.000000,10.32723093032837,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,113,4.507786|3.000000,9.391360998153687,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,114,4.507786|3.000000,9.302795886993408,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
