MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,37,4.507786|3.000000,0.020424365997314453,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,126105116672.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,38,4.507786|3.000000,0.01922011375427246,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,102277775360.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,39,4.507786|3.000000,0.018355369567871094,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,92819914752.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,40,4.507786|3.000000,0.01965808868408203,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,111101526016.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,41,4.507786|3.000000,0.01872110366821289,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,119430488064.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,42,4.507786|3.000000,0.0189974308013916,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,69446762496.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,43,4.507786|3.000000,0.019742965698242188,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,111736184832.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,44,4.507786|3.000000,0.019491195678710938,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,125928136704.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,45,4.507786|3.000000,0.05753946304321289,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,254255376.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,46,4.507786|3.000000,0.018677473068237305,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,109910786048.000000,N/A,1,5
