MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,62,4.518628|3.000000,0.019068002700805664,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,92921077760.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,63,4.518628|3.000000,0.019533157348632812,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,100485685248.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,64,4.518628|3.000000,0.019352436065673828,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,82697084928.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,65,4.518628|3.000000,0.018848657608032227,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,99497934848.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,66,4.518628|3.000000,0.0189669132232666,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,82640035840.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,67,4.518628|3.000000,0.020452499389648438,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,111885877248.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,68,4.518628|3.000000,0.01907038688659668,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,105181855744.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,69,4.518628|3.000000,0.01879405975341797,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,87679852544.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,70,4.518628|3.000000,0.019186973571777344,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,71,4.518628|3.000000,0.0191342830657959,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,125753409536.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,72,4.518628|3.000000,0.01988363265991211,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,103527997440.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,73,4.518628|3.000000,0.01964282989501953,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,74662830080.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,74,4.518628|3.000000,0.019783735275268555,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,100344193024.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,75,4.518628|3.000000,0.02001500129699707,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,111733514240.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,76,4.518628|3.000000,0.019119739532470703,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,116982865920.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,77,4.518628|3.000000,0.020140409469604492,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,102655959040.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,78,4.518628|3.000000,0.019069433212280273,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,46713434112.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,79,4.518628|3.000000,0.019719839096069336,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,110430404608.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,80,4.518628|3.000000,0.019331932067871094,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,80129024000.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,81,4.518628|3.000000,0.019727468490600586,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,97324122112.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,82,4.518628|3.000000,0.018697023391723633,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,125821829120.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,83,4.518628|3.000000,0.019563674926757812,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,92966240256.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,84,4.518628|3.000000,0.01950860023498535,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,85388992512.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,85,4.518628|3.000000,0.020099163055419922,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,99498311680.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,86,4.518628|3.000000,0.019073486328125,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,100693843968.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,87,4.518628|3.000000,0.019192934036254883,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,99290226688.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,88,4.518628|3.000000,0.01911330223083496,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,82642132992.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,89,4.518628|3.000000,0.01915597915649414,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,121552445440.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,90,4.518628|3.000000,0.0189969539642334,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,71556792320.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,91,4.518628|3.000000,0.019086122512817383,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,105269977088.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,92,4.518628|3.000000,0.020324230194091797,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,49008394240.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,93,4.518628|3.000000,0.018285274505615234,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,53974228992.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,94,4.518628|3.000000,0.01868915557861328,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,110914068480.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,95,4.518628|3.000000,0.020125627517700195,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,95531229184.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,96,4.518628|3.000000,0.019106626510620117,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,83566026752.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,97,4.518628|3.000000,0.019182682037353516,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,63011074048.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,98,4.518628|3.000000,0.019411325454711914,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,92001353728.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,99,4.518628|3.000000,0.019100666046142578,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,70533414912.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,100,4.518628|3.000000,0.02004265785217285,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,123985780736.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,101,4.518628|3.000000,0.018337011337280273,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,86611468288.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,102,4.518628|3.000000,0.019295930862426758,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,90205708288.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,103,4.518628|3.000000,0.019440650939941406,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,90922598400.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,104,4.518628|3.000000,0.01973867416381836,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,116656889856.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,105,4.518628|3.000000,0.019611358642578125,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,123252850688.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,106,4.518628|3.000000,0.019295692443847656,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,103322443776.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,107,4.518628|3.000000,0.019010305404663086,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,82668421120.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,108,4.518628|3.000000,0.018637895584106445,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,23675420672.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,109,4.518628|3.000000,0.019374608993530273,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,43530170368.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,110,4.518628|3.000000,0.020346879959106445,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,127092195328.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,111,4.518628|3.000000,0.020006418228149414,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,108317327360.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,112,4.518628|3.000000,0.019696474075317383,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,111101059072.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,113,4.518628|3.000000,0.01852107048034668,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,96370696192.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,114,4.518628|3.000000,0.01898479461669922,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,88316649472.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,115,4.518628|3.000000,0.019238710403442383,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,87105732608.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,116,4.518628|3.000000,0.018843650817871094,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,56332193792.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,117,4.518628|3.000000,0.01918482780456543,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,96184049664.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,118,4.518628|3.000000,0.01938915252685547,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,115956645888.000000,N/A,1,5
MOGP_GENERATIONAL,290481fa-150d-11f1-9378-303ea725c124,Cooling,74,119,4.518628|3.000000,0.020283937454223633,3.0,4.612183|3.000000,4.518628|3.000000,4.612183|3.000000,3,115082821632.000000,N/A,1,5
