MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,58,4.365190|3.000000,5.345846891403198,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,59,4.365190|3.000000,5.390102863311768,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,60,4.365190|3.000000,5.228755950927734,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,61,4.365190|3.000000,5.440114974975586,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,62,4.365190|3.000000,5.348794937133789,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,63,4.365190|3.000000,5.235208988189697,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,64,4.365190|3.000000,5.126443862915039,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,65,4.365190|3.000000,5.352263927459717,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,66,4.365190|3.000000,5.42311692237854,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,67,4.365190|3.000000,5.267913103103638,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,68,4.365190|3.000000,5.226749897003174,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,69,4.365190|3.000000,5.3031511306762695,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,70,4.365190|3.000000,5.3669209480285645,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,71,4.365190|3.000000,5.385636806488037,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,72,4.365190|3.000000,5.214080095291138,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,73,4.365190|3.000000,5.313033103942871,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,74,4.365190|3.000000,5.232166051864624,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,75,4.365190|3.000000,5.265408039093018,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,76,4.365190|3.000000,5.326009750366211,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,77,4.365190|3.000000,5.205456018447876,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,78,4.365190|3.000000,5.420156955718994,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,79,4.365190|3.000000,5.168473720550537,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,80,4.365190|3.000000,5.335333824157715,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,81,4.365190|3.000000,5.2813639640808105,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,82,4.365190|3.000000,5.336730003356934,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,8cca0d4a-e7fe-11f0-a37d-6e001b3eef54,Cooling,74,83,4.365190|3.000000,5.196939945220947,3.0,4.943788|3.000000,4.943788|3.000000,3,0.000000,N/A,5
