MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,69,4.565099|3.000000,0.019040822982788086,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,108940197888.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,70,4.565099|3.000000,0.018934011459350586,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,87097704448.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,71,4.565099|3.000000,0.0581822395324707,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,114136498176.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,72,4.565099|3.000000,0.01951885223388672,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,105462358016.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,73,4.565099|3.000000,0.019267559051513672,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,94550376448.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,74,4.565099|3.000000,0.020140886306762695,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,97551769600.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,75,4.565099|3.000000,0.02018904685974121,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,62664638464.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,76,4.565099|3.000000,0.01961040496826172,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,90926530560.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,77,4.565099|3.000000,0.01999068260192871,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,114765430784.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,78,4.565099|3.000000,0.019140005111694336,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,120396161024.000000,N/A,1,5
