MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,53,4.487415|7.000000|3.000000,0.026566505432128906,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,130896543744.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,54,4.487415|7.000000|3.000000,0.027158021926879883,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,57466458112.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,55,4.487415|7.000000|3.000000,0.026163339614868164,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,93167157248.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,56,4.487415|7.000000|3.000000,0.027611494064331055,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,67626577920.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,57,4.487415|7.000000|3.000000,0.026453495025634766,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,99845758976.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,58,4.487415|7.000000|3.000000,0.027378082275390625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,121551273984.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,59,4.487415|7.000000|3.000000,0.02696061134338379,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,82107031552.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,60,4.487415|7.000000|3.000000,0.027047395706176758,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,125254868992.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,61,4.487415|7.000000|3.000000,0.026330232620239258,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,79712518144.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,62,4.487415|7.000000|3.000000,0.0263516902923584,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,23399458816.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,63,4.487415|7.000000|3.000000,0.026961565017700195,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,99517956096.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,64,4.487415|7.000000|3.000000,0.026494264602661133,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,82967830528.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,65,4.487415|7.000000|3.000000,0.026076316833496094,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,85198782464.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,66,4.487415|7.000000|3.000000,0.026147127151489258,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,79712509952.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,67,4.487415|7.000000|3.000000,0.02664780616760254,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,94029381632.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,68,4.487415|7.000000|3.000000,0.0267794132232666,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,100695457792.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,69,4.487415|7.000000|3.000000,0.02672886848449707,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,95845556224.000000,N/A,2,5
MOGP_GENERATIONAL,7e9c1fca-1525-11f1-9378-303ea725c124,Cooling,74,70,4.487415|7.000000|3.000000,0.027835845947265625,7.0,4.989985|7.000000|3.000000,4.487415|7.000000|3.000000,4.989985|7.000000|3.000000,7,128144744448.000000,N/A,2,5
