MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,35,4.541265|3.000000|1.000000,0.027852296829223633,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,65908568064.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,36,4.541265|3.000000|1.000000,0.027236223220825195,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,99498278912.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,37,4.541265|3.000000|1.000000,0.026573657989501953,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,37325844480.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,38,4.541265|3.000000|1.000000,0.02663445472717285,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,119333683200.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,39,4.541265|3.000000|1.000000,0.026541709899902344,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,49937321984.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,40,4.541265|3.000000|1.000000,0.026863574981689453,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,75685462016.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,41,4.541265|3.000000|1.000000,0.02653050422668457,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,95946579968.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,42,4.541265|3.000000|1.000000,0.02657794952392578,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,97588682752.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,43,4.541265|3.000000|1.000000,0.02735447883605957,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,101272731648.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,44,4.541265|3.000000|1.000000,0.025744199752807617,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,23137957888.000000,N/A,2,5
