MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,37,7.545539|7.000000|1.000000,0.026347637176513672,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,45553512448.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,38,7.545539|7.000000|1.000000,0.025582551956176758,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,74424868864.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,39,7.545539|7.000000|1.000000,0.026811599731445312,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,61466046464.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,40,7.545539|7.000000|1.000000,0.02547740936279297,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,73567494144.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,41,7.545539|7.000000|1.000000,0.026850461959838867,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,98167357440.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,42,7.545539|7.000000|1.000000,0.0262148380279541,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,102305161216.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,43,7.545539|7.000000|1.000000,0.06533026695251465,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,62907834368.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,44,7.545539|7.000000|1.000000,0.026964902877807617,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,104550162432.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,45,7.545539|7.000000|1.000000,0.02673506736755371,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,67278168064.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,46,7.545539|7.000000|1.000000,0.027063369750976562,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,101862875136.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,47,7.545539|7.000000|1.000000,0.026856660842895508,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,97796284416.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,48,7.545539|7.000000|1.000000,0.026408910751342773,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,29887309824.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,49,7.545539|7.000000|1.000000,0.026784896850585938,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,108143992832.000000,N/A,2,5
MOGP_GENERATIONAL,68ca36b8-13eb-11f1-9378-303ea725c124,Boston,74,50,7.545539|7.000000|1.000000,0.02685689926147461,7.0,8.822909|7.000000|1.000000,7.545539|7.000000|1.000000,8.822909|7.000000|1.000000,7,91779244032.000000,N/A,2,5
