MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,61,4.497596|3.000000|1.000000,0.025665998458862305,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,104597585920.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,62,4.497596|3.000000|1.000000,0.026924848556518555,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,1461787264.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,63,4.497596|3.000000|1.000000,0.02711319923400879,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,97581981696.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,64,4.497596|3.000000|1.000000,0.026821613311767578,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,65953251328.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,65,4.497596|3.000000|1.000000,0.025974512100219727,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,96888913920.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,66,4.497596|3.000000|1.000000,0.02618575096130371,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,85364842496.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,67,4.497596|3.000000|1.000000,0.027133703231811523,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,66233364480.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,68,4.497596|3.000000|1.000000,0.026432275772094727,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,27544473600.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,69,4.497596|3.000000|1.000000,0.027378559112548828,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,132026982400.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,70,4.497596|3.000000|1.000000,0.027226686477661133,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,118058885120.000000,N/A,2,5
